new_object_id,mean_epoch,ra,dcl,pi,sigma_pi,mu_x,mu_y,sigma_mu_x,sigma_mu_y,mean_u,mean_v,mean_g,mean_r,mean_i,mean_z,sigma_u,sigma_v,sigma_g,sigma_r,sigma_i,sigma_z,petro_u,petro_v,petro_g,petro_r,petro_i,petro_z,petro_sigma_u,petro_sigma_v,petro_sigma_g,petro_sigma_r,petro_sigma_i,petro_sigma_z,variability,transient,a,b,theta,sigma_a,sigma_b,sigma_theta,radius_frac_20,radius_frac_90,class_star,class_desc,field_id_1,object_id_1,field_id_2,object_id_2,field_id_3,object_id_3,field_id_4,object_id_4
9876219,1,178.178583198481,-2.1998264,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,-0.247839,-0.247839,6.8167149E-4,0.30536801,1.413608,3.6036129,0.22715145,0.22715145,0.091756038,0.12409206,0.19490489,0.80834299,-0.86936498,-0.86936498,-0.032540999,0.240436,1.292915,2.5497539,0.81772685,0.81772685,0.21229471,0.31598327,0.44324958,1.9146621,1.2226329E-40,false,0.66419804,13.28396,126.62684,-223.6068,-4472.1357,5.0,0.562962,0.85265499,0.99000001," 'Star'   ",1,39,0,0,0,0,0,0
9878043,1,178.172258482701,-2.1755983,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.067489997,0.067489997,0.403483,1.452037,2.6861689,2.969662,0.22974609,0.22974609,0.093274117,0.13086155,0.20255449,0.80280119,-0.117041,-0.117041,0.45064801,1.121446,2.2114961,3.2374561,0.32149938,0.32149938,0.12990883,0.20356934,0.29702467,1.2611213,1.2226329E-40,false,0.44304425,1.6551572,104.80055,0.059233535,0.22128901,5.0,0.45339999,0.95236599,0.99000001," 'Star'   ",1,71,0,0,0,0,0,0
9880323,1,178.224384990146,-2.18734471,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.63792199,0.63792199,0.025661999,0.02551,0.073297001,5.8995471,0.24070396,0.24070396,0.21942781,0.12398136,0.1878823,1.3064207,0.47675899,0.47675899,0.057440002,0.17393599,-0.0026954811,4.715106,0.41304034,0.41304034,0.18342374,0.34150144,0.39727446,1.7674881,1.2226329E-40,false,0.77862597,11.331732,17.111275,-262.12976,-3814.9048,5.0,2.1346619,2.3401611,0.99000001," 'Star'   ",1,111,0,0,0,0,0,0
9881691,1,178.218423172288,-2.18072239,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,10.480083,10.480083,30.382797,45.81086,53.459515,57.249882,0.39003178,0.39003178,0.4455184,0.79022598,0.99104327,1.5036182,10.100477,10.100477,29.013062,43.656834,50.966457,51.111847,0.46991348,0.46991348,0.23943527,0.35009387,0.46576759,1.7509913,1.2226329E-40,false,1.1641617,1.1644843,103.28809,0.014738958,0.014743042,5.0,0.59022301,1.321404,0.99000001," 'Star'   ",1,135,0,0,0,0,0,0
9881748,1,178.219269040709,-2.2144462,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,6.2537212,6.2537212,13.162024,17.143764,18.556492,19.548635,0.32494929,0.32494929,0.2265269,0.33526731,0.40757099,0.95778233,5.769711,5.769711,12.621663,16.021345,17.991188,17.276543,0.43643498,0.43643498,0.2093236,0.29788807,0.41499883,1.6512737,1.2226329E-40,false,1.0265131,1.2508934,68.311562,0.030781904,0.037510365,5.0,0.575185,1.291847,0.99000001," 'Star'   ",1,136,0,0,0,0,0,0
9883914,1,178.233488796439,-2.1969835,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.63205302,0.63205302,0.18445399,0.78910798,0.553886,0.99093598,0.24193488,0.24193488,0.09237919,0.12814775,0.5539704,0.79329187,0.177543,0.177543,0.311075,0.88274997,0.056618001,-0.032439999,0.67809904,0.67809904,0.27289543,0.46416911,0.7543686,2.5504978,1.2226329E-40,false,0.39823297,7.9646592,80.134132,0.24762484,4.952497,5.0,0.69625199,1.604226,0.99000001," 'Star'   ",1,174,0,0,0,0,0,0
9886707,1,178.168915211888,-2.1828653,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.013169,0.013169,0.44270301,1.121578,1.5246789,1.5194989,0.2276798,0.2276798,0.093768768,0.12861107,0.19513142,0.79458398,0.84908497,0.84908497,0.67193902,0.93066901,1.382175,2.7353079,0.35832521,0.35832521,0.14846088,0.22738908,0.31696698,1.3708795,1.2226329E-40,false,0.38910317,2.4015305,98.717865,0.011852225,0.073151499,5.0,0.51233602,0.87956601,0.99000001," 'Star'   ",1,223,0,0,0,0,0,0
9912243,1,178.267326481497,-2.18328873,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.19266599,0.19266599,0.189878,0.18874,2.2622941,3.80949,0.23798199,0.23798199,0.092011027,0.12582798,0.19787954,0.81085962,0.065050997,0.065050997,-0.148607,-0.24522699,2.2457731,8.4709826,0.51284385,0.51284385,0.22210522,1.3150338,0.48843268,2.97105,1.2226329E-40,false,0.93785137,9.4078665,128.7845,-315.73407,-3167.2224,5.0,-9999.0,-9999.0,0.99000001," 'Star'   ",1,671,0,0,0,0,0,0
9917145,1,178.206055964887,-2.16096035,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,4.648067,4.648067,17.483089,31.098719,38.69128,44.459995,0.29820204,0.29820204,0.27945939,0.5539583,0.73874527,1.2995838,4.0028968,4.0028968,16.810385,29.649513,37.746925,41.739597,0.42556855,0.42556855,0.21409228,0.32861874,0.44578597,1.7129467,1.2226329E-40,false,0.9912492,1.3287951,103.79814,0.018528072,0.024837356,5.0,0.58526099,1.35779,0.99000001," 'Star'   ",1,757,0,0,0,0,0,0
9934986,1,178.194213002933,-2.16561428,9.9999997E-5,0.0099999998,9.9999997E-5,9.9999997E-5,0.0099999998,0.0099999998,0.77710801,0.77710801,0.27906299,0.83808398,1.0479701,1.995062,0.24117677,0.24117677,0.092130452,0.12743221,0.19197616,0.79718584,0.79118901,0.79118901,0.051399998,0.63323998,0.85643601,1.799775,0.35155296,0.35155296,0.1446566,0.22658218,0.32307053,1.3643936,1.2226329E-40,false,0.30566081,3.0596678,15.709983,0.052181199,0.52233434,5.0,0.46703699,0.82847798,0.99000001," 'Star'   ",1,1070,0,0,0,0,0,0
