global_object_id,field_id,mean_ra,mean_dcl,sigma_ra,sigma_dcl,n_epochs,flux_u,sigma_flux_u,flux_v,sigma_flux_v,flux_g,sigma_flux_g,flux_r,sigma_flux_r,flux_i,sigma_flux_i,flux_z,sigma_flux_z
493760,79,180.143871234832,-2.2032072,0.0021803351,0.0020022299,3,3.2720499,0.25672594,3.2720499,0.25672594,30.478992,0.60743028,120.60632,2.5231054,347.85977,6.5028358,648.92017,11.474051
493824,79,180.142300133407,-2.3031541,0.0030863995,0.002753611,3,21.181742,0.50407803,21.181742,0.50407803,57.346184,1.1386752,78.544861,2.0076516,68.826294,7.9707217,49.895683,23.30549
493888,79,179.841265103795,-2.1944877,0.0012095923,0.0011255782,3,124.27012,1.9075704,124.27012,1.9075704,293.44086,5.5827603,416.509,8.6367512,473.17648,8.8319378,490.2757,8.7317095
555520,79,179.072423240706,-1.37033289,0.0032499267,0.0030350785,3,22.813774,0.51211816,22.813774,0.51211816,54.69101,1.253438,75.81752,1.0908713,86.147156,1.3976504,88.623238,1.6249897
493952,79,179.827931419358,-2.15849796,0.001871689,0.0016757724,3,16.294851,0.44560403,16.294851,0.44560403,97.271713,1.8694953,188.54541,3.9269168,248.50641,4.658576,280.38593,5.1327291
494016,79,179.827850826001,-2.3330423,0.0010652691,9.7813422E-4,3,27.287962,0.59744769,27.287962,0.59744769,212.48517,4.069077,508.74185,10.55881,699.65594,13.094461,784.58282,14.103087
494080,79,178.72405557448,-2.235079,0.0043798313,0.0040532635,3,12.733948,0.48092005,12.733948,0.48092005,31.478361,0.53347516,43.568489,0.71532625,49.056797,0.58175987,50.054592,1.2290959
617216,79,179.82116393595,-1.169540578,0.0043311864,0.0041916994,3,13.22216,0.98847872,13.22216,0.98847872,47.933235,0.89474833,84.284172,1.583252,107.21619,2.7571864,123.44672,2.4392712
494144,79,178.40610170234,-2.16367928,0.0029231771,0.0029010468,3,2.1246309,0.27448472,2.1246309,0.27448472,19.96344,0.31087235,65.668808,1.1137743,112.21937,2.0095601,142.55641,3.019027
494208,79,178.405457116296,-2.3330404,0.055618491,0.052800391,3,158.93129,2.953105,158.93129,2.953105,1677.8068,22.218531,5971.1626,2.656532,10844.85,3.9029164,14832.14,281.90015
679040,79,179.218650680268,-0.91478938,0.0022168995,0.0021980505,3,56.210186,1.9687176,56.210186,1.9687176,143.35455,2.7510655,201.6049,3.6376867,211.19911,5.5663037,227.584,4.121583
617344,79,179.967310674947,-1.148294621,0.0064302552,0.0064443517,3,2.136646,0.3873322,2.136646,0.3873322,16.702135,0.38374582,45.918106,0.92010689,73.972267,1.6048843,92.112999,2.4366555
494272,79,178.222894535681,-2.306884,0.0016755079,0.0015382362,3,136.58203,2.5646758,136.58203,2.5646758,182.76115,2.4541299,223.04735,3.6761229,380.61441,6.6987486,343.01053,6.768044
740736,79,178.650257092586,-0.46856705,0.0056189988,0.0053391163,3,0.98570698,0.30788732,0.98570698,0.30788732,13.238454,0.26885828,48.429089,0.8007226,93.302979,1.8512552,133.70845,2.9528346
617408,79,180.137788433132,-1.1794816789,0.0031064141,0.0030648489,3,6.8691859,0.41785118,6.8691859,0.41785118,51.795765,1.0584583,124.21046,2.3698745,159.24796,3.3296726,184.21425,3.9954636
617472,79,180.614215834384,-1.58238811,0.0020676709,0.0019804845,3,5.136806,0.36551228,5.136806,0.36551228,68.111198,2.3010952,232.24434,3.0500565,393.04602,6.0959749,530.69348,11.567738
617536,79,178.760995152308,-1.66983051,0.0019493171,0.0018251503,3,88.904816,1.3290553,88.904816,1.3290553,214.63632,5.3522639,302.54712,6.1673193,340.21442,6.6520481,342.70337,4.9267659
617600,79,179.069120065557,-1.5563013,0.067627847,0.07079763,3,90.478722,1.3650786,90.478722,1.3650786,712.67462,17.719622,1541.3788,1.7079451,2146.6523,41.692947,2404.9319,31.677
617984,79,178.914997050007,-1.6742813,0.01071807,0.01385502,3,8.5376492,0.37614387,8.5376492,0.37614387,30.067295,0.78281564,56.792744,1.2140814,78.921158,1.6343929,104.21701,2.1922183
618048,79,179.22308170678,-1.59118194,0.0055484432,0.0053346753,3,2.1968889,0.34075066,2.1968889,0.34075066,17.070591,0.5482825,62.652271,2.1006827,133.49733,2.2489634,203.04019,2.5006955
618176,79,180.766485685161,-1.53378791,0.0013059609,0.0011889513,3,144.76909,2.5828674,144.76909,2.5828674,424.44873,6.2739406,606.58594,20.208513,690.35388,14.647177,715.25238,17.053936
618368,79,179.178367644013,-0.67162338,0.0062149521,0.0059752534,3,3.765429,0.36181691,3.765429,0.36181691,21.12149,0.39791659,41.645706,0.86321163,52.434242,1.0855639,58.142456,1.3501586
618432,79,179.329952679073,-0.6625034,0.002102474,0.0020681953,3,5.4791131,0.37779769,5.4791131,0.37779769,66.367302,1.1489745,228.98508,4.5296659,401.87354,7.7975225,533.1673,7.7568336
618752,79,180.181092688395,-1.68325633,0.0016251736,0.0015489818,3,63.954899,1.0424123,63.954899,1.0424123,207.07506,4.9081564,339.56531,6.1488709,416.17444,12.634504,433.43323,4.9517088
619072,79,178.945692746629,-1.68970982,0.0026180181,0.003611098,3,20.593285,0.50823581,20.593285,0.50823581,124.36317,3.1107547,281.64255,5.7432389,389.76904,7.6114435,529.86285,7.2783599
619136,79,178.671325166298,-2.09366623,0.0019307965,0.0017890701,3,101.74019,2.2784364,101.74019,2.2784364,232.34229,4.5409064,283.90521,4.8693085,310.60547,4.7906699,305.1716,6.1942368
619200,79,178.364690600306,-2.02771965,0.0041171373,0.0038423766,3,24.399719,0.73602831,24.399719,0.73602831,55.732307,1.1172473,73.02076,1.2927841,81.542175,1.3399012,85.701721,2.3506517
619264,79,179.934520328302,-0.56394592,0.0014398005,0.0014080184,3,96.540344,1.4003006,96.540344,1.4003006,310.11398,7.6271462,504.05002,11.048419,595.75104,8.6457844,608.06769,8.8693762
619392,79,180.578766791426,-1.24046629,0.0014696933,0.0014450521,3,12.676627,0.5479151,12.676627,0.5479151,109.47021,3.2701747,406.5253,8.8454018,1032.3339,36.134293,1849.2479,41.90517
619648,79,178.87777567685,-1.63280601,0.0048350692,0.0048092008,3,21.296829,0.52651078,21.296829,0.52651078,53.895264,1.3663752,75.963379,1.5877197,85.040833,1.7358311,89.213699,2.0088625
619712,79,180.234749745969,-0.58700672,0.0012043252,0.0011485587,3,107.5466,1.9889915,107.5466,1.9889915,442.27902,10.453742,715.57758,14.486817,838.26447,12.234847,898.34125,16.732553
619776,79,180.089569644819,-0.67847458,0.0054392852,0.0051315045,3,17.639765,0.51695895,17.639765,0.51695895,43.080376,1.0432016,56.914547,1.198369,60.845371,0.97838366,61.58234,1.5655262
619840,79,180.229835212919,-0.55714813,0.0017098659,0.0016009157,3,11.841434,0.4269928,11.841434,0.4269928,116.18733,2.7629371,358.98029,7.2827978,574.81403,8.4072208,759.19653,14.177047
619968,79,178.400743999634,-1.210721189,0.0056005334,0.0053736567,3,3.040885,0.4193278,3.040885,0.4193278,20.137472,0.52766526,50.145439,2.3292627,64.415489,1.1712003,79.837181,2.7071557
620032,79,179.699831427856,-1.57593078,0.0020879167,0.0020256315,3,54.287132,2.0227835,54.287132,2.0227835,188.80406,2.6049616,278.70593,8.2321959,345.64328,6.1810884,363.19897,5.0474157
620096,79,179.854679381589,-1.70824829,0.0012058597,0.0011914432,3,196.68356,7.0754914,196.68356,7.0754914,486.69278,6.6494007,634.65234,18.715532,668.79651,11.906291,681.35352,9.0108376
620160,79,179.67880361062,-1.58604736,0.0021694596,0.0020421103,3,64.289764,2.386832,64.289764,2.386832,189.379,2.6129441,262.82584,7.7645459,312.22903,5.5895586,323.73929,4.563499
620224,79,178.725505799271,-1.30259913,0.0047616819,0.0044737393,3,17.359678,0.92826867,17.359678,0.92826867,48.234634,0.74566114,74.372353,2.2543344,89.660118,1.5639114,94.996422,2.223793
620288,79,180.570710189535,-0.59586159,0.0038988423,0.00387005,3,2.908144,0.30504471,2.908144,0.30504471,26.334511,0.43907055,90.624413,1.1094795,157.08295,3.038363,195.21953,4.1072698
620352,79,179.184732321448,-1.263989625,0.075066298,0.059671629,3,13082.91,606.12817,13082.91,606.12817,160716.8,12.132588,418071.81,20.751619,594061.69,34.459583,406957.31,52.634628
494336,79,179.897701600306,-2.18656937,0.004160834,0.0037894314,3,8.9894638,0.34038872,8.9894638,0.34038872,30.845156,0.61505604,47.036198,1.00879,55.875668,1.0881921,62.634693,1.4990348
494400,79,179.040881514851,-2.2502386,0.0043029096,0.0039583049,3,1.808055,0.24341716,1.808055,0.24341716,15.072062,0.24077509,45.691257,1.078151,70.131744,1.2071978,91.304535,1.6898258
494464,79,179.788695801921,-2.2480194,0.0037511031,0.0034848975,3,4.181056,0.27437302,4.181056,0.27437302,25.42675,0.55616766,54.437721,1.3684002,71.69088,1.9031296,84.322151,2.3683054
494528,79,178.175279862521,-2.3178341,0.0011637683,0.0011143207,3,73.904854,1.4769518,73.904854,1.4769518,211.49629,2.8338735,308.63272,5.0721574,341.4079,6.0118914,361.90173,7.1241622
494592,79,179.101628456062,-2.2362301,0.0017169581,0.0016367136,3,10.60338,0.3681168,10.60338,0.3681168,76.805054,1.0092703,194.1573,4.464241,289.25513,4.7920446,371.36755,5.3316846
494656,79,178.947223484371,-2.1694347,0.0013336233,0.0012290849,3,55.764435,0.98827112,55.764435,0.98827112,203.33247,2.6016273,346.64404,7.9482818,434.19504,7.1742215,489.55762,6.908061
494720,79,179.865596015775,-2.2690918,0.0046508936,0.0043507102,3,12.15808,0.38530159,12.15808,0.38530159,34.083771,0.67598373,39.930542,0.86392319,41.084423,0.81767982,37.654812,1.1266034
494784,79,178.218423172288,-2.18072239,0.0034130272,0.00326724,3,10.480083,0.39003178,10.480083,0.39003178,30.382797,0.4455184,45.81086,0.79022598,53.459515,0.99104327,57.249882,1.5036182
494848,79,178.624717548273,-2.3102562,0.0022107882,0.0020964639,3,5.0598292,0.31658638,5.0598292,0.31658638,42.884289,0.71255445,125.29404,1.9531362,184.90529,1.9129623,237.36259,3.775171
494912,79,178.628423636602,-2.1982729,0.0018291521,0.0017120775,3,31.692045,0.93209845,31.692045,0.93209845,112.00561,1.8002245,176.11676,2.7243609,203.90129,2.1015036,219.55664,3.5258293
494976,79,179.083984487737,-2.2020036,0.0061917906,0.0050359005,3,3.9642351,0.27455726,3.9642351,0.27455726,18.476997,0.28201258,43.297768,1.0240158,60.382214,1.0488821,81.066132,1.5647287
495040,79,178.158522233508,-2.2238256,0.0031748996,0.0029513054,3,0.98467201,0.24602228,0.98467201,0.24602228,13.883616,0.23578443,52.333328,0.89331269,171.42538,3.0431426,341.34286,6.7372537
495104,79,178.15856243638,-2.277074,0.0012288467,0.0011733905,3,64.935333,1.3207977,64.935333,1.3207977,193.62384,2.5980864,280.78592,4.6175218,313.21246,5.5206504,329.99542,6.5231419
495168,79,180.35104687118,-2.17306248,0.0044044429,0.0042078989,3,0.85452801,0.21619569,0.85452801,0.21619569,12.235373,0.23307507,36.215221,0.7968297,56.689594,0.87513649,71.75119,1.6196631
495232,79,179.24495541924,-2.3282205,0.053030781,0.051225819,3,905.83411,12.513161,905.83411,12.513161,4465.2505,2.077929,8110.2427,3.0529976,10170.7,3.7930527,11486.1,154.41074
495296,79,180.131262649389,-2.310404,0.0022483754,0.0020419732,3,2.9828069,0.24814562,2.9828069,0.24814562,31.054861,0.61722481,122.31026,2.5585325,259.4057,4.8600988,398.03357,7.1519856
495360,79,179.949586113265,-2.2940714,0.0046474631,0.0043523461,3,11.523337,0.36915064,11.523337,0.36915064,28.178009,0.56455404,37.829704,0.8210842,41.230019,0.82038707,40.717587,1.1771168
495424,79,179.791152947837,-2.18123165,0.0022305448,0.0020729792,3,39.421181,0.76032835,39.421181,0.76032835,92.497665,1.7794045,128.01306,2.6769276,148.54791,2.8028362,158.22021,3.0502126
495488,79,180.151363817234,-2.2342016,0.0026333504,0.0023960902,3,7.1969352,0.31174919,7.1969352,0.31174919,41.307442,0.81111485,87.298897,1.8343437,109.07915,2.0695508,128.25546,2.5575697
495552,79,179.914741373073,-2.2222292,0.0036789747,0.0034180856,3,18.34959,0.47129151,18.34959,0.47129151,43.13451,0.84627634,54.402729,1.1599063,59.005684,1.1450323,57.468349,1.4133488
495616,79,179.756388693794,-2.2556211,0.003811361,0.0033360864,3,5.8465819,0.29771969,5.8465819,0.29771969,30.784872,0.61243647,60.183136,1.2787776,76.304451,1.4652286,85.052277,1.8343406
495680,79,180.117002395966,-2.2558681,0.0057230289,0.0054215272,3,2.392441,0.25139302,2.392441,0.25139302,14.685877,0.31374288,42.751709,0.91897482,56.766884,1.1032771,80.392654,1.7778628
495744,79,179.890732673709,-2.1963379,0.05421206,0.051730029,3,1354.5099,18.472578,1354.5099,18.472578,6081.9717,2.4021602,10453.99,3.4353714,12628.24,4.1914077,13480.15,233.15642
495808,79,178.284849841206,-2.16221634,0.0033827159,0.0031017384,3,17.183409,0.50628322,17.183409,0.50628322,40.028835,0.57099301,51.311111,0.87984377,56.303558,1.0397336,57.067097,1.5030357
495872,79,178.645987065174,-2.3081962,0.0043789283,0.0039968761,3,7.7821951,0.37262386,7.7821951,0.37262386,38.391109,0.64024985,85.863861,1.3538135,114.68536,1.2197063,147.32445,2.5105586
495936,79,178.974897935183,-2.286298,0.0026159424,0.0025022714,3,29.583208,0.62879568,29.583208,0.62879568,74.406151,0.97849792,96.529243,2.2355258,108.78585,1.8368578,111.81733,1.9392923
496000,79,178.854773952215,-2.1996585,0.0020374572,0.0019503983,3,37.505486,1.0714391,37.505486,1.0714391,107.30214,1.7249355,159.58847,2.4756646,189.23199,1.9616594,204.08333,3.3129842
496128,79,178.550999740141,-2.2699148,0.0027368874,0.0025727402,3,28.222403,0.8491838,28.222403,0.8491838,67.019142,1.0921795,90.006851,1.4157221,100.34393,1.0783942,99.492378,1.8595554
496192,79,178.546165639637,-2.2119981,0.0014650829,0.001376785,3,81.738487,2.1648471,81.738487,2.1648471,212.20491,3.3835959,284.17465,4.3743677,313.94223,3.1925104,313.43665,4.8591805
496256,79,178.825327063997,-2.2956974,0.0026162372,0.0024751662,3,31.337681,0.92223221,31.337681,0.92223221,76.834236,1.2483499,99.561386,1.5798399,109.9457,1.2225149,106.69855,2.0157073
496320,79,180.253602132212,-2.2473098,0.0013123505,0.0012181827,3,21.2999,0.53649884,21.2999,0.53649884,137.68417,2.1562843,288.41125,6.0779324,368.2261,5.3172688,418.38013,7.1742215
496384,79,179.791797533881,-2.3090536,0.0035240399,0.0033534381,3,1.834041,0.23804015,1.834041,0.23804015,18.789801,0.39023295,67.266083,1.4247442,180.81339,3.4017541,299.44815,5.450583
496448,79,178.916568231838,-2.3025724,0.0014062688,0.0012856564,3,99.171646,2.5907953,99.171646,2.5907953,238.81783,3.8033814,330.15558,5.0772543,378.69232,3.83745,374.64822,5.7320948
496576,79,179.202215076258,-2.2351934,0.001213822,0.0011694897,3,78.553673,1.2960851,78.553673,1.2960851,241.69,3.0866697,368.06598,8.4373922,413.20679,6.8282061,432.12448,6.1355467
496640,79,178.449325149831,-2.1922456,0.0014748081,0.0014271369,3,34.030491,0.76897353,34.030491,0.76897353,138.9782,1.8749093,231.87698,3.8221152,287.71115,5.0739851,305.9021,6.0691948
496704,79,178.352807167461,-2.3030492,0.0015364931,0.0014418765,3,12.261585,0.42131847,12.261585,0.42131847,90.71183,1.2379282,202.84433,3.3475723,278.1358,4.9069157,315.44885,6.2468286
