global_object_id,field_id,mean_ra,mean_dcl,sigma_ra,sigma_dcl,n_epochs,flux_u,sigma_flux_u,flux_v,sigma_flux_v,flux_g,sigma_flux_g,flux_r,sigma_flux_r,flux_i,sigma_flux_i,flux_z,sigma_flux_z
493632,1,0.06401939868514,-1.48700351,0.0029467468,0.0032398794,3,19.358675,0.51606095,19.358675,0.51606095,71.769882,1.4870106,119.50426,2.2659199,138.4175,2.5108912,152.12648,2.7811706
493696,1,0.0621261007251073,-1.57511157,0.0041762874,0.0044932105,3,2.66904,0.2786521,2.66904,0.2786521,20.208527,0.44320926,64.714859,1.2496047,102.35504,1.8682714,130.10072,2.4475203
61760,1,1.93186293996504,-0.90147704,0.0027968057,0.0028321957,3,23.684204,0.82546729,23.684204,0.82546729,79.999046,1.4525788,130.23178,3.4634643,154.97426,2.0531805,165.99667,2.4951315
61888,1,1.72537201212618,-1.43955535,0.0042919777,0.0040138736,3,41.889389,1.1880683,41.889389,1.1880683,51.053005,1.1129855,36.605015,0.6468603,28.270678,0.57062215,21.370823,1.0093485
62016,1,1.41273553261192,-1.45290679,0.0041946592,0.0040171249,3,1.094076,0.24214484,1.094076,0.24214484,10.868587,0.26939711,37.314606,0.59365541,64.905029,0.94674772,85.988777,1.991771
62080,1,1.41487046591219,-1.32299917,0.0026508262,0.0025361183,3,3.5282791,0.2922132,3.5282791,0.2922132,27.15036,0.59682715,90.825424,1.3705319,220.88924,3.0504255,360.28955,7.1718225
62144,1,2.51278443932758,-0.83053703,0.0039096228,0.0039413408,3,13.893577,0.46423221,13.893577,0.46423221,48.956661,0.94540215,74.777817,1.2819122,85.368561,1.2958685,91.476295,1.9766204
123456,1,2.20264536220509,-2.08971707,0.0049105287,0.0045374408,3,5.0569482,0.3768836,5.0569482,0.3768836,31.532484,0.56087494,72.540932,1.0939138,100.61096,2.6664677,120.25345,2.242502
123584,1,1.13587022826595,-1.56849975,0.0050163865,0.0046359203,3,17.491619,0.60794979,17.491619,0.60794979,47.41341,1.1767336,66.872643,1.4342244,74.214157,1.6950419,78.171867,1.7008868
62400,1,2.07539134633249,-0.87278098,0.0063842172,0.0066076969,3,0.844751,0.32817125,0.844751,0.32817125,11.214857,0.27131262,35.059315,0.82585847,51.121643,0.90714377,65.228149,1.3713461
